doc_type,company_name,filing_date,name,lei,title,cusip,identifiers_otherDesc,identifiers_value,balance,units,curCd,valUSD,pctVal,payoffProfile,assetCat,issuerConditional_desc,issuerConditional_issuerCat,invCountry,isRestrictedSec,fairValLevel,derivCat,counterpartyName,counterpartyLei,putOrCall,writtenOrPur,descRefInstrmnt_issuerName,descRefInstrmnt_issueTitle,descRefInstrmnt_otherDesc,descRefInstrmnt_otherValue,shareNo,exercisePrice,exercisePriceCurCd,expDt,delta,unrealizedAppr,isCashCollateral,isNonCashCollateral,isLoanByFund
NPORT-P,AMERICAN CENTURY ETF TRUST,2024-07-23,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,BMBVND9,83.0000000000,NS,USD,2133.1000000000,0.0007663876,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,AMERICAN FUNDS FUNDAMENTAL INVESTORS,2024-08-28,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,WOLF,4493283.000000000000,NS,USD,102267121.080000000000,0.0751774029,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AMERICAN FUNDS INSURANCE SERIES,2024-08-28,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,WOLF,12732.000000000000,NS,USD,289780.320000000000,0.0151795786,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AMERICAN FUNDS INSURANCE SERIES,2024-08-28,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,WOLF,468848.000000000000,NS,USD,10670980.480000000000,0.3492521041,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AMERICAN FUNDS INSURANCE SERIES,2024-08-28,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,WOLF,2041003.000000000000,NS,USD,46453228.280000000000,0.1059050307,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AMERICAN FUNDS INSURANCE SERIES,2024-08-28,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,WOLF,120200.000000000000,NS,USD,2735752.000000000000,0.0766774980,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AMG Funds I,2024-09-27,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,3891.00000000,NS,USD,73345.35000000,0.089971548721,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,USAQ6T1,-180320.00000000,NS,USD,-4104083.20000000,-0.21670617955,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,USAQ6T1,-19989.00000000,NS,USD,-454949.64000000,-0.10336870037,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,USAQ6T1,-15843.00000000,NS,USD,-360586.68000000,-0.01892922034,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852AB8,N/A,AQR15281438,2614000.00000000,PA,USD,1540953.00000000,0.080893278915,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,USAQ6T1,-43657.00000000,NS,USD,-993633.32000000,-0.35742433457,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,USAQ6T1,-220211.00000000,NS,USD,-5012002.36000000,-0.41038774933,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AQR Funds,2024-08-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,USAQ6T1,-68279.00000000,NS,USD,-1554030.04000000,-0.23118418766,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,ARTISAN PARTNERS FUNDS INC,2024-08-29,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,N/A,1868704.00000000,NS,USD,42531703.04000000,0.973785063253,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AUGUSTAR VARIABLE INSURANCE PRODUCTS FUND INC,2024-08-26,Wolfspeed Inc.,549300OGU88P3AW3TO93,WOLFSPEED INC COMMON STOCK USD.00125,977852102,N/A,BMBVND9,772.0000000000,NS,USD,17570.7200000000,0.0224516401,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AUGUSTAR VARIABLE INSURANCE PRODUCTS FUND INC,2024-08-26,Wolfspeed Inc.,549300OGU88P3AW3TO93,WOLFSPEED INC COMMON STOCK USD.00125,977852102,N/A,BMBVND9,24644.0000000000,NS,USD,560897.4400000000,0.1064942837,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,Adviser Managed Trust,2024-09-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,WOLFSPEED INC COMMON STOCK,977852102,N/A,N/A,738.00000000,NS,USD,13911.30000000,0.004011051586,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,AdvisorShares Trust,2024-08-20,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,-30000.00000000,NS,USD,-682800.00000000,-1.00781029331,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,Advisors' Inner Circle Fund III,2024-09-26,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,WOLFSPEED INC COMMON STOCK,977852102,N/A,N/A,467.00000000,NS,USD,8802.95000000,0.005009403710,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,BANCROFT FUND LTD,2024-08-29,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,N/A,BS54RG7,3125000.00000000,PA,USD,1737500.00000000,1.643756819165,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,BLACKROCK FUNDS,2024-09-27,"Wolfspeed, Inc.",549300OGU88P3AW3TO93,"Wolfspeed, Inc.",977852102,N/A,977852102,2520.00000000,NS,USD,47502.00000000,0.002438927341,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,BLACKROCK FUNDS,2024-09-27,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,8227.00000000,NS,USD,155078.95000000,0.004382418060,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,BLACKROCK FUNDS,2024-09-27,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,11917.00000000,NS,USD,224635.45000000,0.037470507812,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,BLACKROCK FUNDS,2024-09-27,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,22234.00000000,NS,USD,419110.90000000,0.020971023571,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,BNY MELLON INVESTMENT PORTFOLIOS,2024-08-21,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,N/A,520.00,NS,USD,11835.20,0.0076228278152,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,"BNY MELLON MIDCAP INDEX FUND, INC.",2024-09-19,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC,977852102,N/A,N/A,71895.00,NS,USD,1355220.75,0.0834906708426,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,BNY Mellon ETF Trust,2024-09-23,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,7495.00000000,NS,USD,141280.75000000,0.119741939708,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,BlackRock ETF Trust,2024-09-27,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,34.00000000,NS,USD,640.90000000,0.006838770298,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,Blackstone Alternative Investment Funds,2024-08-21,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,400.00000000,NS,USD,9104.00000000,0.000245688385,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,Bridge Builder Trust,2024-08-23,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC 0.00000000,977852102,N/A,N/A,3590.00000000,NS,USD,81708.40000000,0.001037139043,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,Bridge Builder Trust,2024-08-23,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC 0.00000000,977852102,N/A,N/A,5931.00000000,NS,USD,134989.56000000,0.000642585572,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,Bridge Builder Trust,2024-08-23,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC 0.00000000,977852102,N/A,N/A,7166.00000000,NS,USD,163098.16000000,0.009937169155,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,Brighthouse Funds Trust II,2024-08-29,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,46094.00000000,NS,USD,1049099.44000000,0.102876676084,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A
NPORT-P,Brinker Capital Destinations Trust,2024-07-29,WOLFSPEED INC,549300OGU88P3AW3TO93,WOLFSPEED INC 0.00000000,977852102,N/A,N/A,1019.00000000,NS,USD,26188.30000000,0.002933772642,Long,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE & HIGH INCOME FUND,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,N/A,N/A,9500000.00000000,PA,USD,5442645.00000000,0.688258776717,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE & HIGH INCOME FUND,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,N/A,N/A,5711000.00000000,PA,USD,3378570.49000000,0.427242782231,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE & HIGH INCOME FUND,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,N/A,N/A,9500000.00000000,PA,USD,4735940.00000000,0.584959522000,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE & HIGH INCOME FUND,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,N/A,N/A,5711000.00000000,PA,USD,3037909.34000000,0.375227303430,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,N/A,N/A,8750000.00000000,PA,USD,5012962.50000000,0.684079831201,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,N/A,N/A,5338000.00000000,PA,USD,3157907.42000000,0.430934956091,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,N/A,N/A,8750000.00000000,PA,USD,4362050.00000000,0.581209226815,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS CONVERTIBLE OPPORTUNITIES & INCOME FUND,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,N/A,N/A,5338000.00000000,PA,USD,2839495.72000000,0.378340714106,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,N/A,N/A,10250000.00000000,PA,USD,6063797.50000000,0.730862917100,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,225447AD3,N/A,N/A,10000000.00000000,PA,USD,9303800.00000000,0.064451695401,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,N/A,N/A,20000000.00000000,PA,USD,11458200.00000000,0.079376213617,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-07-01,Wolfspeed Inc,549300OGU88P3AW3TO93,Wolfspeed Inc,977852102,N/A,N/A,-188520.00000000,NS,USD,-5095695.60000000,-0.03530022363,Short,EC,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-07-01,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AB8,N/A,N/A,15000000.00000000,PA,USD,8873850.00000000,0.061473234295,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,225447AD3,N/A,N/A,10000000.00000000,PA,USD,8547900.00000000,0.058373786999,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
NPORT-P,CALAMOS INVESTMENT TRUST/IL,2024-09-30,WOLFSPEED INC,549300OGU88P3AW3TO93,Wolfspeed Inc,977852AD4,N/A,N/A,20000000.00000000,PA,USD,9970400.00000000,0.068088069105,Long,DBT,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N
